method_key,method_label,asset_role,new_path,source_path,open_vlm,closure_psnr
01_no_memory_i2v_floor,No memory (K=1),first,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/01_no_memory_i2v_floor_first.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_ep0_main_modes_20260509_052019/stage1/exp1_4_4_cam_rt_paper_style_from_scratch_merged_cam_ctx_1_noise_15_atomic_cam_inject_pre_qkv_single_rt/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/first_00.png,34.0,5.86
01_no_memory_i2v_floor,No memory (K=1),tail,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/01_no_memory_i2v_floor_tail.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_ep0_main_modes_20260509_052019/stage1/exp1_4_4_cam_rt_paper_style_from_scratch_merged_cam_ctx_1_noise_15_atomic_cam_inject_pre_qkv_single_rt/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/revisit_tail_00.png,34.0,5.86
02_context_k5,Context K=5,first,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/02_context_k5_first.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_missing_latest_20260511_180613/stage1/exp1_4_4_cam_rt_paper_style_from_scratch_merged_cam_ctx_5_noise_15_atomic_cam_inject_pre_qkv_per_frame_vae/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/first_00.png,100.0,10.37
02_context_k5,Context K=5,tail,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/02_context_k5_tail.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_missing_latest_20260511_180613/stage1/exp1_4_4_cam_rt_paper_style_from_scratch_merged_cam_ctx_5_noise_15_atomic_cam_inject_pre_qkv_per_frame_vae/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/revisit_tail_00.png,100.0,10.37
03_context_k20,Context K=20,first,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/03_context_k20_first.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_missing_latest_20260511_180613/stage1/exp1_4_4_cam_rt_paper_style_from_scratch_merged_cam_ctx_20_noise_15_atomic_cam_inject_pre_qkv_per_frame_vae/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/first_00.png,88.0,7.80
03_context_k20,Context K=20,tail,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/03_context_k20_tail.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_missing_latest_20260511_180613/stage1/exp1_4_4_cam_rt_paper_style_from_scratch_merged_cam_ctx_20_noise_15_atomic_cam_inject_pre_qkv_per_frame_vae/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/revisit_tail_00.png,88.0,7.80
04_framepack_len_r4,FramePack len r=4,first,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/04_framepack_len_r4_first.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_missing_latest_20260511_180613/stage1/exp1_4_4_cam_rt_paper_style_memory_baselines_basic_framepack_lencompress_r4/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/first_00.png,98.0,7.53
04_framepack_len_r4,FramePack len r=4,tail,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/04_framepack_len_r4_tail.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_missing_latest_20260511_180613/stage1/exp1_4_4_cam_rt_paper_style_memory_baselines_basic_framepack_lencompress_r4/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/revisit_tail_00.png,98.0,7.53
05_spatial_memory,Spatial Memory,first,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/05_spatial_memory_first.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_ep0_main_modes_20260509_052019/stage1/exp1_4_4_cam_rt_paper_style_memory_baselines_basic_spatial_mem/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/first_00.png,10.0,8.02
05_spatial_memory,Spatial Memory,tail,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/05_spatial_memory_tail.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_ep0_main_modes_20260509_052019/stage1/exp1_4_4_cam_rt_paper_style_memory_baselines_basic_spatial_mem/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/revisit_tail_00.png,10.0,8.02
06_ssm_legacy,SSM legacy,first,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/06_ssm_legacy_first.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_ep0_main_modes_20260509_052019/stage1/exp1_4_4_cam_rt_paper_style_memory_baselines_basic_videossm_hybrid/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/first_00.png,88.0,8.69
06_ssm_legacy,SSM legacy,tail,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/06_ssm_legacy_tail.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_ep0_main_modes_20260509_052019/stage1/exp1_4_4_cam_rt_paper_style_memory_baselines_basic_videossm_hybrid/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/revisit_tail_00.png,88.0,8.69
07_ssm_blockwise,SSM block-wise,first,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/07_ssm_blockwise_first.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_ep0_main_modes_20260509_052019/stage1/exp1_4_4_cam_rt_paper_style_memory_baselines_basic_abl_block_wise_ssm_two_chunk/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/first_00.png,100.0,17.91
07_ssm_blockwise,SSM block-wise,tail,/pfs/weiyang/echo-memory-paper/materials/paper_visual_assets/representative_sweep_ood_00006/07_ssm_blockwise_tail.png,/pfs/weiyang/CAM-CL/eval_outputs/revisit_ep0_main_modes_20260509_052019/stage1/exp1_4_4_cam_rt_paper_style_memory_baselines_basic_abl_block_wise_ssm_two_chunk/ood/ood_00006_1774370005/right45_return_2chunk/stage1_frames/revisit_tail_00.png,100.0,17.91
